time_step,state,pattern,mapped_prev,mapped_current,mapped_next,status,mapped_to,levenshtein_distance,transition_prev_cur,prob_prev_cur,transition_cur_next,prob_cur_next,probability,confidence_score,decision
1,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
2,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
3,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
4,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
5,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
6,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
7,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
8,bbbb,bbbb,bbbb,bbbb,bbba,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbba,0.20229007633587787,0.12199172542392635,0.12199172542392635,normal
9,bbbb,bbba,bbbb,bbba,bbaa,seen,,,bbbb -> bbba,0.20229007633587787,bbba -> bbaa,0.53125,0.10746660305343511,0.10746660305343511,normal
10,bbba,bbaa,bbba,bbaa,baaa,seen,,,bbba -> bbaa,0.53125,bbaa -> baaa,0.660377358490566,0.3508254716981132,0.3508254716981132,normal
11,bbaa,baaa,bbaa,baaa,aaaa,seen,,,bbaa -> baaa,0.660377358490566,baaa -> aaaa,0.708029197080292,0.4675664509020796,0.4675664509020796,normal
12,baaa,aaaa,baaa,aaaa,aaab,seen,,,baaa -> aaaa,0.708029197080292,aaaa -> aaab,0.13055954088952654,0.09243996690718302,0.09243996690718302,anomaly
13,aaaa,aaab,aaaa,aaab,aaba,seen,,,aaaa -> aaab,0.13055954088952654,aaab -> aaba,0.4230769230769231,0.055236728837876614,0.055236728837876614,anomaly
14,aaab,aaba,aaab,aaba,abaa,seen,,,aaab -> aaba,0.4230769230769231,aaba -> abaa,0.7941176470588235,0.335972850678733,0.335972850678733,normal
15,aaba,abaa,aaba,abaa,baaa,seen,,,aaba -> abaa,0.7941176470588235,abaa -> baaa,0.8676470588235294,0.6890138408304498,0.6890138408304498,normal
16,abaa,baaa,abaa,baaa,aaaa,seen,,,abaa -> baaa,0.8676470588235294,baaa -> aaaa,0.708029197080292,0.6143194504079005,0.6143194504079005,normal
17,baaa,aaaa,baaa,aaaa,aaaa,seen,,,baaa -> aaaa,0.708029197080292,aaaa -> aaaa,0.8593974175035868,0.608478463487941,0.608478463487941,normal
18,aaaa,aaaa,aaaa,aaaa,aaaa,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaaa,0.8593974175035868,0.7385639212118342,0.7385639212118342,normal
19,aaaa,aaaa,aaaa,aaaa,aaab,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaab,0.13055954088952654,0.11220253227091305,0.11220253227091305,normal
20,aaaa,aaab,aaaa,aaab,aaba,seen,,,aaaa -> aaab,0.13055954088952654,aaab -> aaba,0.4230769230769231,0.055236728837876614,0.055236728837876614,anomaly
21,aaab,aaba,aaab,aaba,abaa,seen,,,aaab -> aaba,0.4230769230769231,aaba -> abaa,0.7941176470588235,0.335972850678733,0.335972850678733,normal
22,aaba,abaa,aaba,abaa,baaa,seen,,,aaba -> abaa,0.7941176470588235,abaa -> baaa,0.8676470588235294,0.6890138408304498,0.6890138408304498,normal
23,abaa,baaa,abaa,baaa,aaaa,seen,,,abaa -> baaa,0.8676470588235294,baaa -> aaaa,0.708029197080292,0.6143194504079005,0.6143194504079005,normal
24,baaa,aaaa,baaa,aaaa,aaaa,seen,,,baaa -> aaaa,0.708029197080292,aaaa -> aaaa,0.8593974175035868,0.608478463487941,0.608478463487941,normal
25,aaaa,aaaa,aaaa,aaaa,aaaa,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaaa,0.8593974175035868,0.7385639212118342,0.7385639212118342,normal
26,aaaa,aaaa,aaaa,aaaa,aaaa,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaaa,0.8593974175035868,0.7385639212118342,0.7385639212118342,normal
27,aaaa,aaaa,aaaa,aaaa,aaaa,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaaa,0.8593974175035868,0.7385639212118342,0.7385639212118342,normal
28,aaaa,aaaa,aaaa,aaaa,aaaa,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaaa,0.8593974175035868,0.7385639212118342,0.7385639212118342,normal
29,aaaa,aaaa,aaaa,aaaa,aaaa,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaaa,0.8593974175035868,0.7385639212118342,0.7385639212118342,normal
30,aaaa,aaaa,aaaa,aaaa,aaaa,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaaa,0.8593974175035868,0.7385639212118342,0.7385639212118342,normal
31,aaaa,aaaa,aaaa,aaaa,aaab,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaab,0.13055954088952654,0.11220253227091305,0.11220253227091305,normal
32,aaaa,aaab,aaaa,aaab,aabb,seen,,,aaaa -> aaab,0.13055954088952654,aaab -> aabb,0.5230769230769231,0.06829268292682927,0.06829268292682927,anomaly
33,aaab,aabb,aaab,aabb,abba,seen,,,aaab -> aabb,0.5230769230769231,aabb -> abba,0.3076923076923077,0.1609467455621302,0.1609467455621302,normal
