window_size,alphabet_size,state_count,transition_density,accuracy,precision,recall,f1_score
3,3,27,0.08367626886145405,0.7226277372262774,0.0,0.0,0.0
3,4,57,0.04032009849184364,0.5912408759124088,0.02702702702702703,0.42857142857142855,0.05084745762711865
3,5,94,0.024784970574920778,0.4854014598540146,0.028169014084507043,0.5714285714285714,0.053691275167785234
3,6,132,0.016414141414141416,0.34306569343065696,0.01675977653631285,0.42857142857142855,0.03225806451612903
4,3,68,0.028114186851211073,0.5588235294117647,0.022988505747126436,0.2857142857142857,0.0425531914893617
4,4,125,0.013504,0.4068627450980392,0.01694915254237288,0.2857142857142857,0.032
4,5,187,0.008407446595556064,0.28431372549019607,0.03355704697986577,0.7142857142857143,0.0641025641025641
4,6,239,0.006109837012657341,0.25980392156862747,0.038461538461538464,0.8571428571428571,0.0736196319018405
5,3,127,0.013082026164052327,0.639751552795031,0.0,0.0,0.0
5,4,234,0.005917159763313609,0.2857142857142857,0.0,0.0,0.0
5,5,311,0.0039598432605121945,0.2422360248447205,0.0,0.0,0.0
5,6,358,0.0032536437689210697,0.2422360248447205,0.0,0.0,0.0
6,3,157,0.008600754594506876,0.4090909090909091,0.0,0.0,0.0
6,4,215,0.005819361817198485,0.2727272727272727,0.0,0.0,0.0
6,5,283,0.00422030491078675,0.2727272727272727,0.0,0.0,0.0
6,6,288,0.004002700617283951,0.09090909090909091,0.0,0.0,0.0
