window_size,alphabet_size,state_count,transition_density,accuracy,precision,recall,f1_score
3,3,27,0.1111111111111111,0.6917443408788282,0.2824427480916031,0.21203438395415472,0.24222585924713586
3,4,64,0.056884765625,0.6191744340878829,0.2591792656587473,0.3438395415472779,0.2955665024630542
3,5,120,0.033680555555555554,0.4826897470039947,0.25116279069767444,0.6189111747851003,0.3573200992555831
3,6,202,0.019801980198019802,0.40346205059920104,0.24931255728689275,0.7793696275071633,0.37777777777777777
4,3,81,0.03185490016765737,0.5871886120996441,0.22748815165876776,0.13753581661891118,0.17142857142857143
4,4,225,0.011437037037037037,0.5186832740213523,0.26119402985074625,0.3008595988538682,0.2796271637816245
4,5,419,0.006066267565119816,0.45729537366548045,0.28780487804878047,0.5071633237822349,0.36721991701244816
4,6,690,0.0034782608695652175,0.3620996441281139,0.25268817204301075,0.5386819484240688,0.34400731930466605
5,3,211,0.010242357539138833,0.5306577480490524,0.2966101694915254,0.2153846153846154,0.24955436720142601
5,4,508,0.003851757703515407,0.5172798216276477,0.3548387096774194,0.40615384615384614,0.3787661406025825
5,5,981,0.0018153270965884944,0.4124860646599777,0.2971887550200803,0.4553846153846154,0.3596597812879708
5,6,1437,0.0010866991223597061,0.38684503901895206,0.32558139534883723,0.6461538461538462,0.4329896907216495
6,3,405,0.004365188233500991,0.6112600536193029,0.24782608695652175,0.3275862068965517,0.28217821782178215
6,4,907,0.0017334245832669826,0.5723860589812333,0.3013698630136986,0.632183908045977,0.40816326530612246
6,5,1455,0.0009385812638017973,0.41823056300268097,0.2574626865671642,0.7931034482758621,0.38873239436619716
6,6,2008,0.0005957246710369677,0.3324396782841823,0.24203821656050956,0.8735632183908046,0.3790523690773067
